season,season_type,player_display_name,player_position,team_abbr,attempts,pass_yards,pass_touchdowns,interceptions,passer_rating,completions,completion_percentage,expected_completion_percentage,completion_percentage_above_expectation,player_first_name,player_last_name,player_jersey_number,player_short_name,rush_yards,rush_touchdowns
2025,REG,Matthew Stafford,QB,LAR,597,4707,46,8,109.2,388,65,63.5,1.5,Matthew,Stafford,9,M. Stafford,1,0
2025,REG,Jared Goff,QB,DET,578,4564,34,8,105.5,393,68,66.4,1.6,Jared,Goff,16,J. Goff,45,0
2025,REG,Dak Prescott,QB,DAL,600,4552,30,10,99.5,404,67.3,62.9,4.4,Dak,Prescott,4,D. Prescott,177,2
2025,REG,Drake Maye,QB,NWE,492,4394,31,8,113.5,354,72,62.8,9.2,Drake,Maye,10,D. Maye,450,4
2025,REG,Sam Darnold,QB,SEA,477,4048,25,14,99.1,323,67.7,63.4,4.3,Sam,Darnold,14,S. Darnold,95,0
2025,REG,Trevor Lawrence,QB,JAX,560,4007,29,12,91,341,60.9,63.6,-2.7,Trevor,Lawrence,16,T. Lawrence,359,9
2025,REG,Caleb Williams,QB,CHI,568,3942,27,7,90.1,330,58.1,65,-6.9,Caleb,Williams,18,C. Williams,383,3
2025,REG,Bo Nix,QB,DEN,612,3931,25,11,87.8,388,63.4,65.5,-2.1,Bo,Nix,10,B. Nix,356,5
2025,REG,Justin Herbert,QB,LAC,512,3727,26,13,94.1,340,66.4,63.1,3.3,Justin,Herbert,10,J. Herbert,498,2
2025,REG,Baker Mayfield,QB,TAM,543,3693,26,11,90.6,343,63.2,64.8,-1.6,Baker,Mayfield,6,B. Mayfield,382,1
2025,REG,Josh Allen,QB,BUF,460,3668,25,10,102.2,319,69.3,67.8,1.5,Josh,Allen,17,J. Allen,579,14
2025,REG,Patrick Mahomes,QB,KAN,502,3587,22,11,89.6,315,62.7,65.6,-2.9,Patrick,Mahomes,15,P. Mahomes,422,5
2025,REG,Jordan Love,QB,GNB,439,3381,23,6,101.2,291,66.3,62.5,3.8,Jordan,Love,10,J. Love,199,0
2025,REG,Jacoby Brissett,QB,ARI,485,3366,23,8,94.1,315,64.9,61.6,3.3,Jacoby,Brissett,7,J. Brissett,168,1
2025,REG,Aaron Rodgers,QB,PIT,498,3322,24,7,94.8,327,65.7,67,-1.3,Aaron,Rodgers,8,A. Rodgers,61,1
2025,REG,Jalen Hurts,QB,PHI,454,3224,25,6,98.5,294,64.8,61.7,3.1,Jalen,Hurts,1,J. Hurts,421,8
2025,REG,Cam Ward,QB,TEN,540,3169,15,7,80.2,323,59.8,62.9,-3.1,Cam,Ward,1,C. Ward,159,2
2025,REG,Daniel Jones,QB,IND,384,3101,19,8,100.2,261,68,64.6,3.4,Daniel,Jones,8,D. Jones,164,5
