season,season_type,player_display_name,player_position,team_abbr,attempts,pass_yards,pass_touchdowns,interceptions,passer_rating,completions,completion_percentage,expected_completion_percentage,completion_percentage_above_expectation,player_first_name,player_last_name,player_jersey_number,player_short_name,rush_yards,rush_touchdowns
2025,REG,C.J. Stroud,QB,HOU,423,3041,19,8,92.9,273,64.5,63.8,0.7,C.J.,Stroud,7,C.J. Stroud,209,1
2025,REG,Geno Smith,QB,LVR,448,3025,19,17,84.7,302,67.4,66.6,0.8,Geno,Smith,7,G. Smith,109,0
2025,REG,Bryce Young,QB,CAR,478,3011,23,11,87.8,304,63.6,63.9,-0.3,Bryce,Young,9,B. Young,216,2
2025,REG,Tua Tagovailoa,QB,MIA,384,2660,20,15,88.5,260,67.7,68,-0.3,Tua,Tagovailoa,1,T. Tagovailoa,43,0
2025,REG,Lamar Jackson,QB,BAL,302,2549,21,7,103.8,192,63.6,65.8,-2.2,Lamar,Jackson,8,L. Jackson,349,2
2025,REG,Joe Flacco,QB,CIN,416,2479,15,10,79.2,251,60.3,60.6,-0.3,Joe,Flacco,19,J. Flacco,35,1
2025,REG,Tyler Shough,QB,NOR,327,2384,10,6,91.3,221,67.6,66.9,0.7,Tyler,Shough,6,T. Shough,186,3
2025,REG,Jaxson Dart,QB,NYG,339,2272,15,5,91.7,216,63.7,65.7,-2,Jaxson,Dart,6,J. Dart,487,9
2025,REG,Brock Purdy,QB,SFO,284,2167,20,10,100.5,197,69.4,64.3,5.1,Brock,Purdy,13,B. Purdy,147,3
2025,REG,Mac Jones,QB,SFO,289,2151,13,6,97.4,201,69.6,66.6,3,Mac,Jones,10,M. Jones,60,0
2025,REG,Michael Penix,QB,ATL,276,1982,9,3,88.5,166,60.1,63.3,-3.2,Michael,Penix,9,M. Penix,70,1
2025,REG,Joe Burrow,QB,CIN,259,1809,17,5,100.7,173,66.8,64.7,2.1,Joe,Burrow,9,J. Burrow,41,0
2025,REG,Kirk Cousins,QB,ATL,269,1721,10,5,84.8,166,61.7,63.6,-1.9,Kirk,Cousins,12,K. Cousins,7,1
2025,REG,Marcus Mariota,QB,WAS,227,1695,10,7,86.1,139,61.2,57.9,3.3,Marcus,Mariota,18,M. Mariota,297,1
2025,REG,J.J. McCarthy,QB,MIN,243,1632,11,12,72.6,140,57.6,62.8,-5.2,J.J.,McCarthy,9,J.J. McCarthy,181,4
2025,REG,Spencer Rattler,QB,NOR,257,1586,8,5,86.5,174,67.7,64.7,3,Spencer,Rattler,2,S. Rattler,167,0
2025,REG,Shedeur Sanders,QB,CLE,212,1400,7,10,68.1,120,56.6,60.2,-3.6,Shedeur,Sanders,12,S. Sanders,169,1
2025,REG,Jayden Daniels,QB,WAS,188,1262,8,3,88.1,114,60.6,64,-3.4,Jayden,Daniels,5,J. Daniels,278,2
2025,REG,Justin Fields,QB,NYJ,204,1259,7,1,89.5,128,62.7,64.4,-1.7,Justin,Fields,7,J. Fields,383,4
2025,REG,Carson Wentz,QB,MIN,169,1216,6,5,85.8,110,65.1,64.9,0.2,Carson,Wentz,11,C. Wentz,57,0
2025,REG,Kyler Murray,QB,ARI,161,962,6,3,88.6,110,68.3,69.3,-1,Kyler,Murray,1,K. Murray,173,1
2025,REG,Dillon Gabriel,QB,CLE,185,937,7,2,80.8,110,59.5,64.2,-4.7,Dillon,Gabriel,8,D. Gabriel,86,0
2025,REG,Davis Mills,QB,HOU,159,915,5,1,81.6,91,57.2,60.1,-2.9,Davis,Mills,20,D. Mills,60,1
2025,REG,Russell Wilson,QB,NYG,119,831,3,3,77.4,69,58,,,Russell,Wilson,3,R. Wilson,106,0
2025,REG,Tyrod Taylor,QB,NYJ,134,779,5,5,72.9,80,59.7,,,Tyrod,Taylor,2,T. Taylor,143,1
2025,REG,Jake Browning,QB,CIN,125,771,6,8,71.1,81,64.8,,,Jake,Browning,6,J. Browning,39,1
2025,REG,Brady Cook,QB,NYJ,153,739,2,7,55.4,88,57.5,67.8,-10.3,Brady,Cook,4,B. Cook,49,0
2025,REG,Quinn Ewers,QB,MIA,83,622,3,3,85.5,55,66.3,,,Quinn,Ewers,14,Q. Ewers,19,0
2025,REG,Jameis Winston,QB,NYG,66,567,2,2,82.1,37,56.1,,,Jameis,Winston,19,J. Winston,23,1
2025,REG,Philip Rivers,QB,IND,92,544,4,3,80.2,58,63,,,Philip,Rivers,17,P. Rivers,-6,0
2025,REG,Tyler Huntley,QB,BAL,67,426,2,0,103.1,52,77.6,,,Tyler,Huntley,2,T. Huntley,151,0
2025,REG,Malik Willis,QB,GNB,35,422,3,0,145.5,30,85.7,,,Malik,Willis,2,M. Willis,123,2
