player_display_name,player_position,team_abbr,player_first_name,player_last_name,player_jersey_number,player_short_name,avg_cushion,avg_separation,receptions,targets,catch_percentage,yards,rec_touchdowns,yac,avg_yac,avg_expected_yac
Xavier Hutchinson,WR,HOU,Xavier,Hutchinson,,X. Hutchinson,7.3,2.9,35,57,61.4,428,3,193,3.6,3
Chimere Dike,WR,TEN,Chimere,Dike,,C. Dike,4.9,2.4,48,74,64.9,423,4,74,3,2.4
Keon Coleman,WR,BUF,Keon,Coleman,,K. Coleman,5.6,2.5,38,59,64.4,404,4,123,3.5,3.5
KaVontae Turpin,WR,DAL,KaVontae,Turpin,,K. Turpin,5.9,3.3,26,38,68.4,396,2,115,3.9,3.7
Garrett Wilson,WR,NYJ,Garrett,Wilson,,G. Wilson,6.1,3,36,59,61,395,4,204,6.2,4.1
Pat Bryant,WR,DEN,Pat,Bryant,,P. Bryant,6,3.4,31,49,63.3,378,1,80,4.1,4
Calvin Austin III,WR,PIT,Calvin,Austin III,,C. Austin,6.4,3.2,31,55,56.4,372,3,214,4.3,4.9
Mike Evans,WR,TAM,Mike,Evans,13,M. Evans,6.7,2.4,30,62,48.4,368,3,112,2.8,2.7
Xavier Legette,WR,CAR,Xavier,Legette,,X. Legette,5.6,3.5,35,64,54.7,363,3,73,5.5,4.8
Matthew Golden,WR,GNB,Matthew,Golden,,M. Golden,6.3,3.6,29,44,65.9,361,0,59,8.2,7.6
Chris Godwin,WR,TAM,Chris,Godwin,,C. Godwin,6,3.4,33,51,64,360,2,103,7,5.9
